DATE,GDP,permit,house_st,IPI_Cement,unemployed_rate,MSPUS,all_const_emp,PPI_Concrete,monthly_supply,total_emp_cons,p_saving_rate,ushpi,new_private_house,new_private_hw_under,emp_pop_ratio,labor_percent,population,home_ow_rate,PPI_Cement,income
1990-01-01,5872.701,1748.0,1551.0,138.1363,5.4,123900.0,710.3,122.2,7.0,5422.0,7.9,76.527,1508.0,891.0,63.2,66.8,248743.0,64.1,101.7,4783.8
1990-02-01,5872.701,1329.0,1437.0,134.7538,5.3,123900.0,707.3,122.2,7.6,5416.0,8.5,76.587,1352.0,898.0,63.2,66.7,248920.0,64.1,101.7,4819.8
1990-03-01,5872.701,1246.0,1289.0,132.5115,5.2,123900.0,703.0,122.2,7.8,5392.0,8.3,76.79,1345.0,885.0,63.2,66.7,249146.0,64.1,102.0,4842.7
1990-04-01,5960.028,1136.0,1248.0,127.1853,5.4,126800.0,692.5,122.2,8.3,5355.0,8.7,77.038,1332.0,872.0,63.0,66.6,249436.0,63.9,102.5,4883.8
1990-05-01,5960.028,1067.0,1212.0,123.8842,5.4,126800.0,688.6,122.2,8.2,5321.0,8.7,77.297,1351.0,858.0,63.1,66.6,249707.0,63.9,102.5,4889.5
1990-06-01,5960.028,1108.0,1177.0,123.1067,5.2,126800.0,681.4,122.2,7.9,5303.0,8.6,77.505,1263.0,846.0,62.9,66.4,249990.0,63.9,102.4,4919.3
1990-07-01,6015.116,1078.0,1171.0,122.3559,5.5,117000.0,673.9,122.2,7.8,5274.0,8.7,77.561,1295.0,831.0,62.8,66.5,250285.0,63.9,102.7,4948.2
1990-08-01,6015.116,1069.0,1115.0,119.6385,5.7,117000.0,663.3,122.2,8.2,5234.0,8.1,77.479,1307.0,813.0,62.7,66.5,250595.0,63.9,102.8,4949.9
1990-09-01,6015.116,976.0,1110.0,118.6876,5.9,117000.0,656.8,125.2,8.4,5197.0,8.1,77.229,1312.0,793.0,62.5,66.4,250904.0,63.9,103.5,4978.6
1990-10-01,6004.733,925.0,1014.0,113.6963,5.9,121500.0,646.3,125.2,8.7,5134.0,7.9,76.91199999999999,1282.0,766.0,62.5,66.4,251201.0,64.0,103.6,4966.5
1990-11-01,6004.733,941.0,1145.0,116.5566,6.2,121500.0,633.8,128.6,8.2,5095.0,8.0,76.381,1248.0,758.0,62.3,66.4,251486.0,64.0,103.7,4973.5
1990-12-01,6004.733,861.0,969.0,108.5216,6.3,121500.0,624.3,128.6,8.5,5047.0,8.8,75.972,1173.0,745.0,62.2,66.4,251758.0,64.0,103.8,5004.1
1991-01-01,6035.178,786.0,798.0,101.5934,6.4,120000.0,610.0,128.6,9.4,4972.0,9.4,75.533,1149.0,716.0,62.0,66.2,252012.0,64.0,105.0,4990.4
1991-02-01,6035.178,853.0,965.0,108.6813,6.6,120000.0,600.3,129.0,7.9,4929.0,9.0,75.249,1090.0,710.0,61.9,66.2,252253.0,64.0,105.3,4997.1
1991-03-01,6035.178,911.0,921.0,105.2613,6.8,120000.0,598.0,130.2,7.3,4881.0,8.1,75.137,1176.0,678.0,61.8,66.3,252507.0,64.0,105.8,5005.8
1991-04-01,6126.862,916.0,1001.0,104.176,6.7,119900.0,587.6,130.9,7.3,4842.0,8.7,75.315,1093.0,670.0,62.0,66.4,252778.0,64.1,106.3,5034.3
1991-05-01,6126.862,991.0,996.0,104.1175,6.9,119900.0,584.8,130.9,7.0,4800.0,8.5,75.768,1070.0,662.0,61.6,66.2,253060.0,64.1,106.7,5055.9
1991-06-01,6126.862,964.0,1036.0,105.9744,6.9,119900.0,579.9,130.9,7.0,4782.0,9.0,76.253,1093.0,654.0,61.7,66.2,253350.0,64.1,106.6,5090.8
1991-07-01,6205.937,973.0,1063.0,107.988,6.8,120000.0,574.1,130.9,7.1,4752.0,8.4,76.517,1076.0,652.0,61.6,66.1,253650.0,64.1,106.4,5087.0
1991-08-01,6205.937,944.0,1049.0,107.1435,6.9,120000.0,569.3,130.9,6.8,4733.0,8.7,76.594,1050.0,651.0,61.5,66.0,253966.0,64.1,106.2,5108.4
1991-09-01,6205.937,974.0,1015.0,108.3246,6.9,120000.0,568.2,135.8,7.4,4728.0,8.9,76.574,1216.0,633.0,61.6,66.2,254280.0,64.1,105.4,5141.5
